;disaster_type;disaster_name;pcode;# of damaged houses;# of affected people;pcode_parent;# of affected people;# of damaged houses;land_area;# of hit distritos
;Flood;Total;160104;5438;15330;1601;56505;14126.25;16822.1131107195;5
;Flood;Total;160501;5366;23860;1605;271404;67851;27673.8537199713;9
;Flood;Total;080202;0;0;0802;2379;594.75;71.3583982891383;1
;Flood;Total;170103;227;1143;1701;23304;5826;30962.506159929;4
;Flood;Total;220901;360;1693;2209;146030;36507.5;115.626556191347;2
;Flood;Total;070101;15;70;0701;1627556;406889;199.784895186111;4
;Flood;Total;120904;12;28;1209;11838;2959.5;63.8647903744783;3
;Flood;Total;210105;27;36;2101;45344;11336;416.850570066572;4
;Flood;Total;200111;490;0;2001;80304;20076;1531.52435041343;3
;Flood;Total;160508;138;407;1605;2070;517.5;14090.2137708175;3
;Flood;Total;160507;7826;26069;1605;34489;8622.25;18183.5712515946;7
;Flood;Total;010703;2;12;0107;17630;4407.5;598.32228605231;2
;Flood;Total;220503;330;1650;2205;15255;3813.75;3041.79741523567;3
;Flood;Total;130103;2;10;1301;41914;10478.5;1.75270433818896;1
;Flood;Total;211208;0;0;2112;2269;567.25;645.322344332429;1
;Flood;Total;090310;114;160;0903;15028;3757;66.1871479916582;2
;Flood;Total;200110;40;200;2001;40613;10153.25;239.245335143075;1
;Flood;Total;150142;1;7;1501;463014;115753.5;34.3039372432415;1
;Flood;Total;220803;6;28;2208;13156;3289;170.572542650735;1
;Flood;Total;030109;3;20;0301;29652;7413;159.02902674402;3
;Flood;Total;060808;39;117;0608;15314;3828.5;442.405102436527;2
;Flood;Total;080401;164;1020;0804;139896;34974;1871.57364853832;6
;Flood;Total;100603;0;543;1006;12303;3075.75;381.910261574422;3
;Flood;Total;160305;10004;44635;1603;88296;22074;95359.6983475002;6
;Flood;Total;220508;17;55;2205;2900;725;1291.95010891747;2
;Flood;Total;220905;819;3987;2209;10764;2691;1840.71683116018;6
;Flood;Total;211102;172;860;2111;4224;1056;193.192416571308;1
;Flood;Total;050605;47;182;0506;2018;504.5;367.033728866445;1
;Flood;Total;150201;3;12;1502;140860;35215;317.356761036911;2
;Flood;Total;130207;5;25;1302;39320;9830;227.394508927045;2
;Flood;Total;081201;37;185;0812;18508;4627;281.520114973193;2
;Flood;Total;120427;90;250;1204;1626;406.5;320.070621624272;1
;Flood;Total;120607;12;52;1206;28301;7075.25;488.870921707244;1
;Flood;Total;020101;2;11;0201;128218;32054.5;848.051530548749;2
;Flood;Total;210801;25;150;2108;44794;11198.5;2040.49407972086;2
;Flood;Total;221004;40;160;2210;1006;251.5;1062.78431293413;1
;Flood;Total;090701;0;4;0907;11166;2791.5;107.40143733031;1
;Flood;Total;160601;1837;12474;1606;136365;34091.25;55186.1140034964;5
;Flood;Total;160103;4445;12504;1601;121350;30337.5;27406.9446913598;6
;Flood;Total;130601;1;4;1306;54514;13628.5;802.822405989811;2
;Flood;Total;250401;103;680;2504;40329;10082.25;165798.483537488;9
;Flood;Total;200504;360;1800;2005;12429;3107.25;121.895303713908;1
;Flood;Total;210606;426;2126;2106;20424;5106;1227.02979010479;4
;Flood;Total;210211;110;272;2102;9978;2494.5;515.804010213091;1
;Flood;Total;170204;319;1665;1702;39798;9949.5;9118.37502732793;6
;Flood;Total;210107;1066;5330;2101;16068;4017;193.750484290002;2
;Flood;Total;250302;837;4269;2503;99332;24833;11789.553305366;4
;Flood;Total;030216;55;280;0302;54939;13734.75;474.128910650851;3
;Flood;Total;010509;46;315;0105;4404;1101;96.2111454799037;1
;Flood;Total;190101;4;22;1901;78255;19563.75;44.9179542105446;3
;Flood;Total;110210;0;0;1102;54992;13748;33.1783875446205;2
;Flood;Total;110211;0;0;1102;4990;1247.5;11.4150228708611;1
;Flood;Total;020803;0;0;0208;2058;514.5;219.13694311479;1
;Flood;Total;030105;1;4;0301;4749;1187.25;425.466058899547;1
;Flood;Total;220103;16;85;2201;1993;498.25;69.6745288990703;1
;Flood;Total;220504;54;270;2205;15798;3949.5;2522.06741162444;2
;Flood;Total;050613;15;75;0506;3020;755;716.31145763022;1
;Flood;Total;100903;0;2475;1009;12606;3151.5;1897.39262786222;2
;Flood;Total;130901;2;10;1309;124848;31212;834.548600308321;2
;Flood;Total;040519;12;38;0405;2137;534.25;1112.75396186165;1
;Flood;Total;060310;9;45;0603;12146;3036.5;527.564197636744;2
;Flood;Total;060901;40;153;0609;112308;28077;973.596272701949;3
;Flood;Total;081003;300;2100;0810;3682;920.5;325.864867999002;1
;Flood;Total;130701;77;312;1307;49557;12389.25;2054.34933133103;3
;Flood;Total;090301;1;18;0903;74097;18524.25;2482.06725322129;3
;Flood;Total;211103;0;0;2111;5374;1343.5;1267.45809763206;1
;Flood;Total;200704;40;200;2007;1646;411.5;238.678691625729;1
;Flood;Total;080902;20;100;0809;134949;33737.25;63854.6187429599;3
;Flood;Total;160108;20869;149488;1601;911280;227820;16026.0079775218;10
;Flood;Total;010202;20;83;0102;11032;2758;816.252825769502;1
;Flood;Total;150103;25;100;1501;1260172;315043;168.343346793351;2
;Flood;Total;220709;79;265;2207;9318;2329.5;670.480066118739;2
;Flood;Total;200204;215;1075;2002;14502;3625.5;381.643306996126;2
;Flood;Total;150806;1;6;1508;35373;8843.25;483.451141257591;1
;Flood;Total;060703;3;15;0607;16994;4248.5;228.374426152973;1
;Flood;Total;210502;111;556;2105;2203;550.75;1040.323749137;1
;Flood;Total;160510;1538;4246;1605;22528;5632;4638.80011898176;4
;Flood;Total;160302;5566;23763;1603;43584;10896;79435.1115499796;6
;Flood;Total;160801;411;1606;null;null;null;null;2
;Flood;Total;150716;25;100;1507;5469;1367.25;571.591109036623;1
;Flood;Total;210407;0;0;2104;18948;4737;523.448391158256;1
;Flood;Total;080602;129;1015;0806;5000;1250;938.267528340367;1
;Flood;Total;040703;0;0;0407;19857;4964.25;403.370982501217;3
;Flood;Total;220802;1511;10421;2208;46520;11630;2024.25802010497;4
;Flood;Total;210406;0;0;2104;16094;4023.5;399.805077869439;1
;Flood;Total;160107;4127;19851;1601;81430;20357.5;122116.716046167;5
;Flood;Total;150143;0;0;1501;448545;112136.25;66.8717336077101;1
;Flood;Total;050503;84;417;0505;52800;13200;1423.70935155749;5
;Flood;Total;220702;106;464;2207;19212;4803;1878.6298533983;6
;Flood;Total;010201;0;0;0102;51930;12982.5;271.322775108597;2
;Flood;Total;100902;303;4130;1009;33015;8253.75;16144.0237701468;5
;Flood;Total;140110;7;35;1401;9854;2463.5;488.020142827844;1
;Flood;Total;150513;11;114;1505;20845;5211.25;198.591154311414;5
;Flood;Total;090305;0;0;0903;6876;1719;348.033039659327;2
;Flood;Total;120119;4;35;1201;62505;15626.25;35.8858393082635;3
;Flood;Total;250107;1204;5780;2501;561750;140437.5;4514.6805821217;7
;Flood;Total;080603;54;378;0806;26970;6742.5;865.05953385216;5
;Flood;Total;090502;4;20;0905;11420;2855;270.518516191212;1
;Flood;Total;250102;620;2805;2501;78715;19678.75;6469.22146989009;5
;Flood;Total;220710;327;1297;2207;15225;3806.25;1113.18872056306;3
;Flood;Total;030218;6;28;0302;4197;1049.25;122.105076304891;1
;Flood;Total;160112;26808;116557;1601;1210960;302740;10462.1953773821;16
;Flood;Total;050304;240;336;0503;2638;659.5;644.202129415689;1
;Flood;Total;150504;0;95;1505;16106;4026.5;243.9574590676;2
;Flood;Total;110302;0;150;1103;1537;384.25;955.544290765996;1
;Flood;Total;110506;10;51;1105;27078;6769.5;465.784213580013;2
;Flood;Total;090401;140;200;0904;3248;812;925.719471586162;1
;Flood;Total;010705;2;7;0107;8219;2054.75;347.382675736253;1
;Flood;Total;150512;35;140;1505;15200;3800;447.623241898907;1
;Flood;Total;151025;25;220;1510;540;135;158.305274067714;1
;Flood;Total;040101;0;0;0401;54095;13523.75;11.3428715590975;1
;Flood;Total;110101;3541;17701;1101;393009;98252.25;2666.57357407392;3
;Flood;Total;200104;910;4550;2001;572812;143203;2631.83513269209;4
;Flood;Total;220105;25;112;2201;169255;42313.75;2913.87262642468;5
;Flood;Total;220506;36;159;2205;10663;2665.75;558.051284127831;1
;Flood;Total;200407;20;100;2004;6566;1641.5;250.51459427868;1
;Flood;Total;040109;9;46;0401;105334;26333.5;56.5492407849665;2
;Flood;Total;130110;1224;6085;1301;4317;1079.25;388.074402341943;1
;Flood;Total;061105;3;23;0611;1402;350.5;71.0028490973254;1
;Flood;Total;090119;15;73;0901;7638;1909.5;197.998916503084;1
;Flood;Total;160706;1387;7891;1607;37092;9273;35420.7825203656;3
;Flood;Total;020907;3;14;0209;1002;250.5;85.190376621304;1
;Flood;Total;100602;14;1090;1006;77750;19437.5;7097.16151722427;10
;Flood;Total;080909;8;48;0809;21159;5289.75;3541.36737386449;1
;Flood;Total;050109;1;5;0501;3688;922;97.9124424679108;1
;Flood;Total;160509;584;1952;1605;3633;908.25;6274.64530688349;3
;Flood;Total;040125;13;57;0401;2345;586.25;1531.33834898759;1
;Flood;Total;151032;30;160;1510;1848;462;156.999311999654;1
;Flood;Total;040122;2;9;0401;78135;19533.75;26.0148749763579;1
;Flood;Total;120431;36;118;1204;14385;3596.25;694.472992994061;3
;Flood;Total;040508;0;0;0405;1450;362.5;372.2847824292;1
;Flood;Total;110401;1;5;1104;14390;3597.5;261.997588628398;2
;Flood;Total;020801;0;0;0208;65648;16412;2408.27359003021;2
;Flood;Total;220601;584;3324;2206;237276;59319;4031.02094255273;9
;Flood;Total;220805;15;75;2208;22345;5586.25;1164.86190132253;1
;Flood;Total;220101;3645;17601;2201;1419075;354768.75;45983.4193879154;17
;Flood;Total;190204;1;1;1902;1797;449.25;107.764457534553;1
;Flood;Total;120305;136;776;1203;81033;20258.25;1867.79888240319;3
;Flood;Total;120410;0;0;1204;1664;416;12.2281616954341;1
;Flood;Total;120204;44;230;1202;2868;717;99.9379805711734;1
;Flood;Total;220705;521;2022;2207;12280;3070;1013.44663580724;5
;Flood;Total;211001;149;621;2110;53256;13314;2078.05852308242;2
;Flood;Total;080502;25;120;0805;6302;1575.5;506.76739033568;1
;Flood;Total;210901;369;1433;2109;266152;66538;8568.1248142604;17
;Flood;Total;040207;50;300;0402;661;165.25;900.495696488326;1
;Flood;Total;030501;59;421;0305;92656;23164;5705.45472383005;8
;Flood;Total;110303;932;3753;1103;10808;2702;2446.81022187767;4
;Flood;Total;010103;4;17;0101;1625;406.25;317.983491293758;1
;Flood;Total;060203;25;226;0602;41862;10465.5;591.657645253744;3
;Flood;Total;081303;0;0;0813;5228;1307;76.6912290293691;1
;Flood;Total;120125;0;300;1201;16443;4110.75;8.817597349159;1
;Flood;Total;081306;17;85;0813;22450;5612.5;1160.69910457503;2
;Flood;Total;080105;3;13;0801;115305;28826.25;77.2194232380304;1
;Flood;Total;130105;6;31;1301;182494;45623.5;21.1894977150722;1
;Flood;Total;220502;0;0;2205;37724;9431;589.317455993771;2
;Flood;Total;200305;13;65;2003;4626;1156.5;145.789114027158;1
;Flood;Total;081205;10;50;0812;35888;8972;595.657663430994;2
;Flood;Total;061302;278;1390;0613;1527;381.75;8.38478553720796;1
;Flood;Total;160503;5117;22394;1605;31178;7794.5;5614.3671324516;7
;Flood;Total;220903;35;181;2209;6654;1663.5;106.055479272173;2
;Flood;Total;210403;0;0;2104;23188;5797;626.401054116119;1
;Flood;Total;220708;307;1572;2207;22898;5724.5;786.411983425674;2
;Flood;Total;050910;5;25;0509;747;186.75;60.8787575226753;1
;Flood;Total;170301;470;2031;1703;6220;1555;55321.8481651763;4
;Flood;Total;060701;26;97;0607;408655;102163.75;2278.25191793592;5
;Flood;Total;051006;63;182;0510;3495;873.75;189.102503260707;3
;Flood;Total;110201;204;1020;1102;191013;47753.25;672.102562061623;3
;Flood;Total;220205;167;837;2202;44580;11145;1737.49232917836;5
;Flood;Total;100103;12;21;1001;51922;12980.5;3683.07466082764;2
;Flood;Total;080604;6;23;0806;22494;5623.5;876.274098579016;2
;Flood;Total;060603;46;145;0606;10797;2699.25;777.345491069219;3
;Flood;Total;150132;65;325;1501;2182606;545651.5;279.371318436274;2
;Flood;Total;061305;79;395;0613;2601;650.25;60.5610716136603;1
;Flood;Total;060108;68;322;0601;213765;53441.25;1420.28780513235;5
;Flood;Total;160403;7381;25466;1604;93828;23457;85997.0378233051;6
;Flood;Total;250303;1490;5549;2503;34172;8543;7453.41412156434;4
;Flood;Total;040311;0;0;0403;1328;332;445.077545891333;1
;Flood;Total;010101;8;40;0101;28731;7182.75;152.408982163368;1
;Flood;Total;080207;0;200;0802;7476;1869;168.539530895079;2
;Flood;Total;050406;12;35;0504;7168;1792;413.57134758271;1
;Flood;Total;120107;79;455;1201;770652;192663;234.713936900391;9
;Flood;Total;200804;80;400;2008;3878;969.5;263.422743168476;1
;Flood;Total;080910;626;2776;0809;81264;20316;3252.39014178522;4
;Flood;Total;151031;60;460;1510;649;162.25;290.235566701019;1
;Flood;Total;190202;35;102;1902;12885;3221.25;481.277068829878;3
;Flood;Total;081102;0;0;0811;2701;675.25;105.349873489622;1
;Flood;Total;200307;0;210;2003;8564;2141;343.417302559315;1
;Flood;Total;240202;15;75;2402;2109;527.25;855.63402889489;1
;Flood;Total;021809;0;0;0218;151127;37781.75;400.206907447835;1
;Flood;Total;120418;88;480;1204;4674;1168.5;949.151592751307;3
;Flood;Total;090102;55;230;0901;9186;2296.5;1464.58300632277;2
;Flood;Total;220809;66;300;2208;11742;2935.5;178.582054251914;3
;Flood;Total;190307;0;70;1903;20183;5045.75;788.720652687557;1
;Flood;Total;120117;0;0;1201;4488;1122;13.1566509613246;1
;Flood;Total;200105;8009;40043;2001;218337;54584.25;7588.78726624412;3
;Flood;Total;010205;133;566;0102;120570;30142.5;22567.1821377187;5
;Flood;Total;180101;1;9;1801;57243;14310.75;3948.75217671758;1
;Flood;Total;221002;1265;4506;2210;83797;20949.25;5795.89019111828;7
;Flood;Total;010704;1;5;0107;19107;4776.75;929.842779278234;3
;Flood;Total;030602;23;115;0306;24954;6238.5;181.479221664523;2
;Flood;Total;120706;113;0;1207;5674;1418.5;270.371560811724;1
;Flood;Total;210204;80;400;2102;34814;8703.5;806.32242775138;2
;Flood;Total;150514;0;0;1505;12971;3242.75;37.5774364478898;1
;Flood;Total;150106;888;4010;1501;1509890;377472.5;1790.35539623047;5
;Flood;Total;080501;0;11;0805;19952;4988;584.131364600263;2
;Flood;Total;061101;2;12;0611;31770;7942.5;709.295079069878;2
;Flood;Total;150903;0;0;1509;1036;259;106.128968410145;1
;Flood;Total;200410;20;100;2004;9567;2391.75;216.899702732872;1
;Flood;Total;160114;636;3055;1601;16971;4242.75;27376.3710372515;3
;Flood;Total;250106;1677;8113;2501;27690;6922.5;10313.0273555604;5
;Flood;Total;200301;7;20;2003;30404;7601;444.956519087892;1
;Flood;Total;010203;3;21;0102;6328;1582;99.6053544990457;1
;Flood;Total;060805;3;18;0608;7056;1764;84.1635224206662;1
;Flood;Total;030201;27;1305;0302;388376;97094;2977.49502160153;8
;Flood;Total;160705;1804;5508;1607;19089;4772.25;27292.8183170557;3
;Flood;Total;131002;0;0;1310;7266;1816.5;149.325263680962;1
;Flood;Total;030211;0;0;0302;1042;260.5;123.723900530359;1
;Flood;Total;150601;14;58;1506;100436;25109;645.279117592976;1
;Flood;Total;130106;0;0;1301;35289;8822.25;491.705872055776;1
;Flood;Total;050110;3;8;0501;100858;25214.5;33.4514692197356;2
;Flood;Total;030701;6;42;0307;10804;2701;848.643162656368;2
;Flood;Total;210205;375;1500;2102;3564;891;145.386179246529;1
;Flood;Total;080407;25;130;0804;4728;1182;55.0578650650823;1
;Flood;Total;160803;708;2716;null;null;null;null;2
;Flood;Total;150204;56;100;1502;45086;11271.5;1034.48875842739;2
;Flood;Total;150811;18;0;1508;48190;12047.5;2627.99915596866;2
;Flood;Total;040702;0;0;0407;17968;4492;3097.17787103506;2
;Flood;Total;160105;4617;10021;1601;29655;7413.75;20166.2711930004;3
;Flood;Total;030209;1;4;0302;9994;2498.5;170.065735659515;1
;Flood;Total;040602;0;1000;0406;670;167.5;808.736788539976;1
;Flood;Total;010402;164;949;0104;38148;9537;22484.1269027743;4
;Flood;Total;210902;629;2171;2109;5818;1454.5;132.33931234366;2
;Flood;Total;100201;18;47;1002;51414;12853.5;863.430297793107;3
;Flood;Total;250301;2154;4785;2503;363594;90898.5;64988.0169633121;14
;Flood;Total;030204;2;4;0302;14882;3720.5;311.698528823743;2
;Flood;Total;021808;15;53;0218;20532;5133;40.8080890477583;1
;Flood;Total;120303;150;591;1203;342755;85688.75;6195.46558474627;5
;Flood;Total;190104;28;112;1901;22824;5706;2040.3323432777;2
;Flood;Total;160113;9987;43540;1601;1701656;425414;35173.9669244524;11
;Flood;Total;060202;73;211;0602;53588;13397;1638.43839553036;2
;Flood;Total;120402;0;214;1204;14686;3671.5;246.543590311295;2
;Flood;Total;150109;3;0;1501;141240;35310;672.916797650751;3
;Flood;Total;110301;257;1270;1103;160314;40078.5;6842.4213562497;6
;Flood;Total;200202;0;0;2002;24203;6050.75;563.748237927153;1
;Flood;Total;150110;0;0;1501;1049788;262447;96.9288699170208;2
;Flood;Total;120907;0;0;1209;3569;892.25;128.846425357868;1
;Flood;Total;220701;870;3799;2207;48564;12141;1303.2930403699;6
;Flood;Total;060204;30;0;0602;8910;2227.5;581.338484797549;1
;Flood;Total;160602;163;975;1606;13295;3323.75;3135.21116121181;5
;Flood;Total;210604;6;22;2106;6550;1637.5;593.968106038956;2
;Flood;Total;030408;0;0;0304;1292;323;101.973217663996;1
;Flood;Total;220201;1747;8377;2202;93765;23441.25;1809.9126658042;7
;Flood;Total;030404;1;5;0304;2160;540;205.631659185134;1
;Flood;Total;080107;144;735;0801;16167;4041.75;70.3263465011258;3
;Flood;Total;060410;40;195;0604;12552;3138;120.606431019449;1
;Flood;Total;080106;75;403;0801;360616;90154;232.36399332007;4
;Flood;Total;210110;362;1810;2101;5135;1283.75;174.734586310008;1
;Flood;Total;100205;0;29;1002;7643;1910.75;238.161714851539;1
;Flood;Total;080601;89;531;0806;119788;29947;1290.6294174489;2
;Flood;Total;150509;111;271;1505;137544;34386;525.37895846797;4
;Flood;Total;100601;2339;10799;1006;956460;239115;5534.59372286434;15
;Flood;Total;030202;3;10;0302;12760;3190;371.434053664227;2
;Flood;Total;021801;670;2680;0218;214804;53701;1447.26614714391;1
;Flood;Total;170202;36;117;1702;1536;384;10653.89889535;1
;Flood;Total;100901;79;1423;1009;124544;31136;37291.739256932;16
;Flood;Total;080807;20;490;0808;2768;692;627.24690678406;1
;Flood;Total;100905;552;8313;1009;55386;13846.5;17399.0646567397;9
;Flood;Total;140307;0;0;1403;26409;6602.25;554.091913529827;1
;Flood;Total;120606;0;0;1206;59841;14960.25;4143.11948315707;1
;Flood;Total;220707;1533;4988;2207;70954;17738.5;1383.80104042013;13
;Flood;Total;211003;248;1240;2110;2934;733.5;141.040411515866;1
;Flood;Total;130402;15;45;1304;141858;35464.5;3531.29944877777;6
;Flood;Total;150905;0;0;1509;1192;298;230.48351992278;1
;Flood;Total;040205;0;0;0402;6310;1577.5;392.602930560097;1
;Flood;Total;160106;4676;19643;1601;96453;24113.25;70617.795569032;7
;Flood;Total;140303;9;43;1403;27984;6996;69.4264718080044;3
;Flood;Total;030601;11;298;0306;20427;5106.75;406.506176394396;3
;Flood;Total;210808;70;409;2108;14684;3671;1610.90568089298;2
;Flood;Total;230302;2;10;2303;3008;752;1057.53750536854;1
;Flood;Total;200502;10;50;2005;2310;577.5;65.6006113221665;1
;Flood;Total;150137;5;24;1501;685266;171316.5;31.7406486228046;3
;Flood;Total;080908;25;125;0809;12952;3238;2660.84753544463;2
;Flood;Total;120114;2;8;1201;807145;201786.25;830.065325782132;5
;Flood;Total;200702;1;5;2007;7056;1764;479.16472477402;1
;Flood;Total;160605;2082;9835;1606;66276;16569;24993.7819626384;4
;Flood;Total;050408;0;0;0504;28094;7023.5;1568.66008719413;2
;Flood;Total;220704;327;1192;2207;7130;1782.5;681.193295170922;10
;Flood;Total;040310;0;0;0403;2512;628;845.286912839641;2
;Flood;Total;050115;3;10;0501;18054;4513.5;15.8316413731892;1
;Flood;Total;080803;0;0;0808;17846;4461.5;1544.26489513179;1
;Flood;Total;160704;1185;4361;1607;52096;13024;44141.9362522744;4
;Flood;Total;110205;49;276;1102;79776;19944;4549.1223265569;6
;Flood;Total;190201;46;190;1902;38766;9691.5;2231.37453180606;3
;Flood;Total;010403;81;438;0104;50058;12514.5;24252.8066453347;3
;Flood;Total;240304;0;2750;2403;15759;3939.75;608.161394420019;3
;Flood;Total;030101;136;770;0301;617023;154255.75;3155.73177180844;11
;Flood;Total;080605;8;50;0806;7506;1876.5;1088.31287200728;1
;Flood;Total;210101;500;14975;2101;282128;70532;918.877235302118;2
;Flood;Total;130302;18;57;1303;3868;967;164.010673919011;1
;Flood;Total;210607;9;45;2106;14014;3503.5;189.830070286929;1
;Flood;Total;240105;180;720;2401;25623;6405.75;1771.448614881;3
;Flood;Total;120707;2;10;1207;9305;2326.25;168.510563342524;1
;Flood;Total;081007;7;35;0810;4024;1006;281.03410489599;2
;Flood;Total;220911;2815;10485;2209;24744;6186;11902.7106156324;12
;Flood;Total;151019;70;300;1510;1834;458.5;436.137230899475;2
;Flood;Total;050507;27;146;0505;33858;8464.5;1424.17902525058;3
;Flood;Total;131101;1;5;1311;28374;7093.5;932.327003869867;2
;Flood;Total;160205;243;1281;1602;15813;3953.25;13996.7498107309;3
;Flood;Total;160703;1306;6302;1607;31110;7777.5;10695.1304366242;3
;Flood;Total;100606;57;579;1006;28758;7189.5;2233.83477540295;3
;Flood;Total;240102;500;2590;2401;167076;41769;890.072950620732;7
;Flood;Total;240302;0;0;2403;23480;5870;46.9409812265668;1
;Flood;Total;120416;13;87;1204;2069;517.25;14.0893299760528;1
;Flood;Total;140116;60;180;1401;15967;3991.75;164.976370129835;1
;Flood;Total;010521;45;142;0105;7124;1781;180.390595083163;2
;Flood;Total;150101;0;0;1501;815442;203860.5;68.2090205548482;3
;Flood;Total;110111;6;23;1101;58234;14558.5;5529.15836011222;2
;Flood;Total;010602;0;0;0106;2052;513;154.644282937496;1
;Flood;Total;081006;1;7;0810;7203;1800.75;427.311843493959;1
;Flood;Total;200604;9;45;2006;13245;3311.25;2164.80219475278;1
;Flood;Total;200506;20;100;2005;4555;1138.75;63.0742728073714;1
;Flood;Total;200115;2951;11861;null;null;null;null;7
;Flood;Total;150906;0;0;1509;13692;3423;1022.9614675799;4
;Flood;Total;110103;69;348;1101;38518;9629.5;184.924747481312;2
;Flood;Total;030213;10;41;0302;248985;62246.25;2243.51781904902;9
;Flood;Total;160702;1428;7751;1607;24993;6248.25;15264.9526058489;3
;Flood;Total;220907;1733;7656;2209;17220;4305;8566.70807752101;5
;Flood;Total;140101;190;930;1401;1167108;291777;185.943916461376;4
;Flood;Total;120127;0;0;1201;1757;439.25;31.0550934484308;1
;Flood;Total;210206;160;671;2102;26090;6522.5;303.96880014974;2
;Flood;Total;010109;10;49;0101;11010;2752.5;250.013632271858;2
;Flood;Total;090501;1;3;0905;5479;1369.75;132.290770827716;1
;Flood;Total;210803;32;192;2108;3274;818.5;218.320265746577;1
;Flood;Total;010606;80;285;0106;3248;812;162.096023759826;2
;Flood;Total;151018;15;420;1510;762;190.5;410.070203162503;1
